Brentford v Newcastle
0 - 0: 2.0307
0 - 1: 1.6728
0 - 2: 1.4667
0 - 3: 1.2771
1 - 0: 2.087
1 - 1: 2.2469
1 - 2: 1.6209
1 - 3: 1.3957
2 - 0: 1.9384
2 - 1: 2.0407
2 - 2: 1.9396
2 - 3: 1.2936
3 - 0: 1.7206
3 - 1: 1.7975
3 - 2: 1.6288
3 - 3: 1.6297

Arsenal v Man City
0 - 0: 1.5791
0 - 1: 2.7092
0 - 2: 2.7381
0 - 3: 2.5713
1 - 0: 1.0373
1 - 1: 1.7647
1 - 2: 2.7403
1 - 3: 2.5603
2 - 0: 0.8399
2 - 1: 1.0432
2 - 2: 1.584
2 - 3: 2.3371
3 - 0: 0.6891
3 - 1: 0.8523
3 - 2: 0.8787
3 - 3: 1.319

Stoke v Tottenham
0 - 0: 1.5728
0 - 1: 2.7117
0 - 2: 2.7638
0 - 3: 2.6172
1 - 0: 0.9781
1 - 1: 1.7387
1 - 2: 2.7561
1 - 3: 2.6073
2 - 0: 0.7872
2 - 1: 0.9765
2 - 2: 1.5727
2 - 3: 2.3801
3 - 0: 0.6457
3 - 1: 0.794
3 - 2: 0.8301
3 - 3: 1.3232

Hibernian v St Mirren
0 - 0: 1.9598
0 - 1: 1.2055
0 - 2: 0.9486
0 - 3: 0.7974
1 - 0: 2.7011
1 - 1: 2.0596
1 - 2: 1.1245
1 - 3: 0.9458
2 - 0: 2.5888
2 - 1: 2.5052
2 - 2: 1.7396
2 - 3: 0.8828
3 - 0: 2.3725
3 - 1: 2.2971
3 - 2: 2.0471
3 - 3: 1.4741

Celtic v Ross Co
0 - 0: 1.1879
0 - 1: 0.5178
0 - 2: 0.3019
0 - 3: 0.1953
1 - 0: 3.4032
1 - 1: 1.1411
1 - 2: 0.4572
1 - 3: 0.3154
2 - 0: 3.5535
2 - 1: 3.2678
2 - 2: 1.009
2 - 3: 0.3909
3 - 0: 3.5092
3 - 1: 3.2293
3 - 2: 2.9526
3 - 3: 0.8531

St Johnstone v Rangers
0 - 0: 1.4295
0 - 1: 3.126
0 - 2: 3.2071
0 - 3: 3.0796
1 - 0: 0.7593
1 - 1: 1.4715
1 - 2: 3.0168
1 - 3: 2.9115
2 - 0: 0.5392
2 - 1: 0.7113
2 - 2: 1.2869
2 - 3: 2.6378
3 - 0: 0.4144
3 - 1: 0.5668
3 - 2: 0.6118
3 - 3: 1.0963

Motherwell v Aberdeen
0 - 0: 2.1146
0 - 1: 2.0557
0 - 2: 1.8652
0 - 3: 1.6578
1 - 0: 1.779
1 - 1: 2.295
1 - 2: 1.9511
1 - 3: 1.7229
2 - 0: 1.5351
2 - 1: 1.6524
2 - 2: 1.93
2 - 3: 1.5323
3 - 0: 1.3392
3 - 1: 1.437
3 - 2: 1.3032
3 - 3: 1.63

Everton v Man Utd
0 - 0: 1.8361
0 - 1: 2.1432
0 - 2: 2.051
0 - 3: 1.8729
1 - 0: 1.5198
1 - 1: 2.098
1 - 2: 2.1803
1 - 3: 1.9718
2 - 0: 1.347
2 - 1: 1.5361
2 - 2: 1.8613
2 - 3: 1.8076
3 - 0: 1.1675
3 - 1: 1.3147
3 - 2: 1.2512
3 - 3: 1.56
