Chelsea v West Ham
0 - 0: 1.332
0 - 1: 0.5252
0 - 2: 0.2986
0 - 3: 0.2075
1 - 0: 3.5135
1 - 1: 1.6382
1 - 2: 0.7147
1 - 3: 0.5635
2 - 0: 3.5882
2 - 1: 3.347
2 - 2: 1.38
2 - 3: 0.6071
3 - 0: 3.2092
3 - 1: 2.9827
3 - 2: 2.6725
3 - 3: 1.0502

Brentford v Newcastle
0 - 0: 2.0424
0 - 1: 1.6825
0 - 2: 1.4775
0 - 3: 1.2818
1 - 0: 2.0814
1 - 1: 2.256
1 - 2: 1.6273
1 - 3: 1.4025
2 - 0: 1.9222
2 - 1: 2.0243
2 - 2: 1.9397
2 - 3: 1.2897
3 - 0: 1.7103
3 - 1: 1.7871
3 - 2: 1.6183
3 - 3: 1.6313

Arsenal v Man City
0 - 0: 1.6131
0 - 1: 2.6556
0 - 2: 2.6778
0 - 3: 2.5283
1 - 0: 1.0676
1 - 1: 1.7944
1 - 2: 2.6763
1 - 3: 2.5173
2 - 0: 0.8682
2 - 1: 1.0656
2 - 2: 1.6061
2 - 3: 2.3017
3 - 0: 0.7153
3 - 1: 0.8724
3 - 2: 0.8884
3 - 3: 1.3499

Stoke v Tottenham
0 - 0: 1.5709
0 - 1: 2.7256
0 - 2: 2.7733
0 - 3: 2.6355
1 - 0: 0.9589
1 - 1: 1.739
1 - 2: 2.7565
1 - 3: 2.6154
2 - 0: 0.7769
2 - 1: 0.9678
2 - 2: 1.5688
2 - 3: 2.396
3 - 0: 0.6347
3 - 1: 0.7871
3 - 2: 0.8177
3 - 3: 1.3264

Hibernian v St Mirren
0 - 0: 1.951
0 - 1: 1.212
0 - 2: 0.9527
0 - 3: 0.8054
1 - 0: 2.693
1 - 1: 2.0585
1 - 2: 1.1339
1 - 3: 0.9559
2 - 0: 2.5764
2 - 1: 2.4985
2 - 2: 1.7356
2 - 3: 0.8934
3 - 0: 2.3661
3 - 1: 2.2915
3 - 2: 2.0454
3 - 3: 1.4732

Celtic v Ross Co
0 - 0: 1.182
0 - 1: 0.5078
0 - 2: 0.2961
0 - 3: 0.1886
1 - 0: 3.4173
1 - 1: 1.1315
1 - 2: 0.4504
1 - 3: 0.3093
2 - 0: 3.5627
2 - 1: 3.2783
2 - 2: 1.0095
2 - 3: 0.3876
3 - 0: 3.5171
3 - 1: 3.2398
3 - 2: 2.9617
3 - 3: 0.8488

St Johnstone v Rangers
0 - 0: 1.4208
0 - 1: 3.1462
0 - 2: 3.2245
0 - 3: 3.105
1 - 0: 0.7522
1 - 1: 1.4512
1 - 2: 3.0301
1 - 3: 2.9205
2 - 0: 0.5313
2 - 1: 0.7028
2 - 2: 1.2708
2 - 3: 2.6543
3 - 0: 0.4078
3 - 1: 0.5586
3 - 2: 0.6044
3 - 3: 1.0812

Motherwell v Aberdeen
0 - 0: 2.1057
0 - 1: 2.0811
0 - 2: 1.8869
0 - 3: 1.6814
1 - 0: 1.7507
1 - 1: 2.2795
1 - 2: 1.9672
1 - 3: 1.7361
2 - 0: 1.5241
2 - 1: 1.6445
2 - 2: 1.9318
2 - 3: 1.5531
3 - 0: 1.3269
3 - 1: 1.4259
3 - 2: 1.2963
3 - 3: 1.6253

Everton v Man Utd
0 - 0: 1.8502
0 - 1: 2.1535
0 - 2: 2.0561
0 - 3: 1.8747
1 - 0: 1.5109
1 - 1: 2.1116
1 - 2: 2.1773
1 - 3: 1.9616
2 - 0: 1.3399
2 - 1: 1.5363
2 - 2: 1.8676
2 - 3: 1.8043
3 - 0: 1.1595
3 - 1: 1.3185
3 - 2: 1.2416
3 - 3: 1.5618
