Brentford v Newcastle
0 - 0: 2.0447
0 - 1: 1.6617
0 - 2: 1.4546
0 - 3: 1.2651
1 - 0: 2.0848
1 - 1: 2.2608
1 - 2: 1.6063
1 - 3: 1.3825
2 - 0: 1.9369
2 - 1: 2.0413
2 - 2: 1.9516
2 - 3: 1.2802
3 - 0: 1.7237
3 - 1: 1.8072
3 - 2: 1.6329
3 - 3: 1.6453

Arsenal v Man City
0 - 0: 1.6019
0 - 1: 2.6963
0 - 2: 2.7069
0 - 3: 2.5561
1 - 0: 1.0495
1 - 1: 1.7768
1 - 2: 2.7045
1 - 3: 2.5425
2 - 0: 0.855
2 - 1: 1.0489
2 - 2: 1.592
2 - 3: 2.3208
3 - 0: 0.7032
3 - 1: 0.8628
3 - 2: 0.8816
3 - 3: 1.3357

Stoke v Tottenham
0 - 0: 1.5976
0 - 1: 2.7105
0 - 2: 2.7562
0 - 3: 2.6315
1 - 0: 0.9566
1 - 1: 1.7652
1 - 2: 2.751
1 - 3: 2.6108
2 - 0: 0.7677
2 - 1: 0.9541
2 - 2: 1.602
2 - 3: 2.383
3 - 0: 0.6297
3 - 1: 0.7788
3 - 2: 0.8178
3 - 3: 1.359

Hibernian v St Mirren
0 - 0: 1.9321
0 - 1: 1.2044
0 - 2: 0.9549
0 - 3: 0.8029
1 - 0: 2.6929
1 - 1: 2.0443
1 - 2: 1.1393
1 - 3: 0.9535
2 - 0: 2.5873
2 - 1: 2.515
2 - 2: 1.7332
2 - 3: 0.8963
3 - 0: 2.3736
3 - 1: 2.2999
3 - 2: 2.0567
3 - 3: 1.4612

Celtic v Ross Co
0 - 0: 1.1881
0 - 1: 0.5097
0 - 2: 0.297
0 - 3: 0.1899
1 - 0: 3.4132
1 - 1: 1.1408
1 - 2: 0.4529
1 - 3: 0.312
2 - 0: 3.5556
2 - 1: 3.2717
2 - 2: 1.0118
2 - 3: 0.387
3 - 0: 3.5164
3 - 1: 3.2314
3 - 2: 2.9573
3 - 3: 0.8544

St Johnstone v Rangers
0 - 0: 1.4133
0 - 1: 3.1307
0 - 2: 3.221
0 - 3: 3.0893
1 - 0: 0.763
1 - 1: 1.4455
1 - 2: 3.0239
1 - 3: 2.9086
2 - 0: 0.5433
2 - 1: 0.7102
2 - 2: 1.2688
2 - 3: 2.6393
3 - 0: 0.4186
3 - 1: 0.5663
3 - 2: 0.6193
3 - 3: 1.0735

Motherwell v Aberdeen
0 - 0: 2.1067
0 - 1: 2.06
0 - 2: 1.876
0 - 3: 1.6607
1 - 0: 1.7712
1 - 1: 2.2852
1 - 2: 1.9575
1 - 3: 1.7279
2 - 0: 1.5333
2 - 1: 1.6582
2 - 2: 1.9275
2 - 3: 1.5327
3 - 0: 1.3421
3 - 1: 1.4381
3 - 2: 1.3108
3 - 3: 1.6257

Everton v Man Utd
0 - 0: 1.8535
0 - 1: 2.1516
0 - 2: 2.0599
0 - 3: 1.8738
1 - 0: 1.5084
1 - 1: 2.1077
1 - 2: 2.185
1 - 3: 1.9642
2 - 0: 1.336
2 - 1: 1.5286
2 - 2: 1.8754
2 - 3: 1.8052
3 - 0: 1.1544
3 - 1: 1.3049
3 - 2: 1.2438
3 - 3: 1.5664
